               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.098518,            0.060753,            0.018535,             0.80781,            0.069437,            0.048405,            0.013547,            0.076441,            0.093907,            0.013029,            0.070035,           0.0033295,           0.0033295
                   1,            0.069282,            0.048981,            0.012915,             0.12646,             0.12071,             0.12593,             0.05464,            0.059513,            0.087666,            0.012375,            0.039975,           0.0066028,           0.0066028
                   2,            0.058644,            0.044481,             0.01247,             0.37319,             0.26687,             0.19137,            0.088058,            0.053458,            0.084063,            0.011985,           0.0098548,           0.0098162,           0.0098162
                   3,            0.049572,            0.040632,            0.011923,             0.47028,             0.29448,             0.26625,             0.13749,            0.043674,            0.080024,            0.011282,             0.00973,             0.00973,             0.00973
                   4,            0.043945,            0.037741,            0.010889,             0.57434,             0.30157,             0.32656,             0.18777,            0.040936,            0.073513,            0.010072,             0.00973,             0.00973,             0.00973
                   5,            0.040364,            0.035829,           0.0095335,             0.53461,             0.38209,             0.33325,             0.19324,            0.041685,            0.074742,            0.010151,             0.00964,             0.00964,             0.00964
                   6,            0.038281,            0.034397,           0.0085292,             0.61424,             0.41914,              0.3828,             0.22432,            0.038518,            0.069957,           0.0090847,             0.00955,             0.00955,             0.00955
                   7,            0.036773,            0.033496,           0.0076772,             0.65093,             0.42974,             0.40588,             0.25476,             0.03681,            0.070011,           0.0075965,             0.00946,             0.00946,             0.00946
                   8,            0.035603,            0.032432,           0.0070246,             0.70378,             0.43037,             0.43398,             0.27104,            0.036272,            0.069069,           0.0072871,             0.00937,             0.00937,             0.00937
                   9,            0.034717,            0.031977,           0.0065512,             0.71409,             0.40962,             0.44687,             0.28834,            0.036065,            0.069634,           0.0079725,             0.00928,             0.00928,             0.00928
                  10,            0.034003,            0.031037,           0.0061012,             0.72163,             0.41957,             0.44604,             0.28889,            0.036145,            0.071657,           0.0069067,             0.00919,             0.00919,             0.00919
                  11,             0.03336,            0.030808,           0.0057929,             0.74667,             0.44624,             0.47451,             0.31172,            0.035448,            0.069679,           0.0062249,              0.0091,              0.0091,              0.0091
                  12,            0.032473,            0.030096,           0.0054152,             0.76532,              0.4628,             0.49304,             0.32318,            0.034507,             0.06901,           0.0060241,             0.00901,             0.00901,             0.00901
                  13,            0.032151,             0.02972,           0.0052555,             0.77919,             0.45158,             0.48872,             0.32511,            0.034654,             0.06946,           0.0059215,             0.00892,             0.00892,             0.00892
                  14,             0.03164,            0.029348,            0.005065,             0.75535,             0.45274,             0.48739,             0.32637,            0.033985,            0.068057,           0.0062565,             0.00883,             0.00883,             0.00883
                  15,            0.031169,            0.029191,           0.0048332,             0.77061,             0.44664,             0.49701,             0.33437,            0.034013,             0.06754,           0.0065779,             0.00874,             0.00874,             0.00874
                  16,            0.030742,            0.029054,           0.0048215,              0.7787,             0.46999,             0.50636,             0.34025,             0.03388,            0.067922,           0.0061872,             0.00865,             0.00865,             0.00865
                  17,            0.030345,              0.0285,           0.0047286,             0.77564,             0.47366,             0.51352,             0.35089,             0.03274,            0.067784,             0.00574,             0.00856,             0.00856,             0.00856
                  18,            0.030023,            0.028477,           0.0046767,             0.75986,             0.46727,             0.49886,             0.33905,            0.033576,            0.068513,           0.0060114,             0.00847,             0.00847,             0.00847
                  19,            0.029858,            0.028108,             0.00451,             0.78162,             0.47118,             0.51713,             0.35607,            0.032814,            0.067451,            0.005704,             0.00838,             0.00838,             0.00838
                  20,            0.029535,            0.028066,           0.0044325,             0.77814,             0.48951,             0.51439,             0.35399,            0.033472,            0.067429,            0.005648,             0.00829,             0.00829,             0.00829
                  21,             0.02923,            0.027502,           0.0044562,             0.78006,             0.47705,              0.5137,             0.35393,            0.032949,            0.068763,           0.0055802,              0.0082,              0.0082,              0.0082
                  22,             0.02897,             0.02753,           0.0043048,             0.76901,             0.49015,             0.52192,             0.36438,            0.032486,            0.066606,           0.0056268,             0.00811,             0.00811,             0.00811
                  23,            0.028659,             0.02747,           0.0042189,             0.78893,             0.48104,             0.53609,             0.37515,            0.032265,            0.065933,           0.0055833,             0.00802,             0.00802,             0.00802
                  24,            0.028566,            0.027073,           0.0041573,             0.77401,             0.48423,             0.52366,             0.36689,            0.032248,            0.068053,           0.0057161,             0.00793,             0.00793,             0.00793
                  25,            0.028186,            0.026811,           0.0040584,             0.77046,              0.4989,             0.52576,             0.36799,            0.032409,            0.066635,           0.0054983,             0.00784,             0.00784,             0.00784
                  26,            0.028219,            0.026871,            0.004124,             0.77271,             0.48913,             0.52837,             0.36793,            0.032231,            0.067243,           0.0054823,             0.00775,             0.00775,             0.00775
                  27,            0.027944,             0.02646,            0.003963,             0.76326,              0.4914,             0.53379,             0.37172,            0.032071,            0.066598,           0.0055006,             0.00766,             0.00766,             0.00766
                  28,            0.027904,            0.026689,           0.0040062,             0.77397,             0.49941,             0.54413,             0.38316,             0.03189,            0.066584,           0.0054678,             0.00757,             0.00757,             0.00757
                  29,             0.02762,            0.026561,           0.0039473,             0.77875,             0.48125,             0.52677,             0.37134,            0.032292,            0.067417,            0.005488,             0.00748,             0.00748,             0.00748
                  30,            0.027638,            0.026977,           0.0039005,             0.75427,             0.49212,             0.52663,             0.36867,            0.031944,            0.067099,           0.0058181,             0.00739,             0.00739,             0.00739
                  31,            0.027515,            0.026469,           0.0039172,             0.76841,             0.49917,             0.54578,             0.38787,            0.031513,            0.065726,           0.0054482,              0.0073,              0.0073,              0.0073
                  32,            0.027296,            0.026458,           0.0037777,             0.76053,             0.49626,             0.53291,             0.37891,            0.031781,            0.068086,           0.0057817,             0.00721,             0.00721,             0.00721
                  33,            0.027154,            0.026181,           0.0038413,             0.76727,             0.49516,             0.54231,             0.37737,            0.031982,            0.067104,           0.0054538,             0.00712,             0.00712,             0.00712
                  34,             0.02705,            0.026292,           0.0038628,             0.75332,             0.49386,             0.52819,               0.372,            0.031434,            0.067882,           0.0054017,             0.00703,             0.00703,             0.00703
                  35,            0.026885,            0.026092,           0.0036484,             0.75495,             0.49718,             0.53321,             0.37343,            0.031584,            0.066869,           0.0054963,             0.00694,             0.00694,             0.00694
                  36,            0.026876,            0.025727,           0.0036507,             0.75606,             0.50581,             0.55332,             0.39096,            0.031437,            0.067527,           0.0053346,             0.00685,             0.00685,             0.00685
                  37,             0.02665,            0.025722,           0.0037155,             0.75337,             0.49024,             0.54058,             0.38468,            0.031163,            0.068131,           0.0054464,             0.00676,             0.00676,             0.00676
                  38,            0.026564,            0.025268,           0.0036434,             0.76421,             0.49091,               0.557,             0.39357,            0.031304,            0.066712,           0.0054596,             0.00667,             0.00667,             0.00667
                  39,            0.026573,            0.025545,           0.0036482,             0.75651,             0.50593,             0.55039,             0.39199,             0.03114,            0.067304,           0.0054666,             0.00658,             0.00658,             0.00658
                  40,            0.026169,            0.025592,           0.0035554,             0.75968,             0.49588,             0.53986,             0.38224,             0.03142,            0.068081,           0.0054961,             0.00649,             0.00649,             0.00649
