               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.068143,            0.044276,            0.015546,             0.57409,             0.28561,              0.3384,             0.18143,             0.04237,            0.065132,            0.011551,            0.070056,           0.0033272,           0.0033272
                   1,            0.050331,            0.035622,            0.011081,             0.85045,             0.36494,             0.41457,             0.23352,            0.041891,            0.065904,           0.0086412,            0.040026,           0.0066305,           0.0066305
                   2,            0.045058,              0.0331,           0.0089802,             0.63911,             0.46601,             0.45238,             0.27979,            0.035861,            0.065745,            0.007455,           0.0099656,           0.0099039,           0.0099039
                   3,            0.039761,            0.031609,           0.0070077,             0.77073,             0.49911,             0.53293,              0.3636,             0.03231,            0.064758,           0.0062885,            0.009865,            0.009865,            0.009865
                   4,             0.03627,            0.030576,           0.0056633,             0.79612,             0.51896,             0.55153,             0.37392,            0.032773,            0.064869,           0.0057856,            0.009865,            0.009865,            0.009865
                   5,            0.033431,            0.029525,           0.0049938,             0.77592,             0.50395,              0.5442,             0.37377,             0.03179,            0.065428,           0.0056403,             0.00982,             0.00982,             0.00982
                   6,             0.03233,            0.028584,           0.0046646,             0.76865,             0.49689,             0.53762,             0.37256,            0.031608,            0.067203,           0.0060707,            0.009775,            0.009775,            0.009775
                   7,            0.030658,            0.027902,           0.0043654,             0.82685,             0.50453,             0.55117,             0.38734,            0.030461,            0.063083,           0.0055114,             0.00973,             0.00973,             0.00973
                   8,             0.02967,            0.027159,           0.0042073,              0.7855,             0.50232,             0.53264,             0.37623,             0.03062,            0.067644,           0.0056292,            0.009685,            0.009685,            0.009685
                   9,            0.029207,            0.026808,           0.0040746,             0.79717,             0.51811,              0.5698,             0.40628,            0.029987,             0.06744,           0.0054507,             0.00964,             0.00964,             0.00964
                  10,            0.028562,            0.026205,           0.0038882,             0.80737,             0.52043,             0.56138,             0.39727,            0.030692,            0.066698,           0.0054257,            0.009595,            0.009595,            0.009595
                  11,            0.028024,            0.026032,            0.003788,             0.78467,              0.5234,             0.54944,              0.3954,            0.030028,            0.068446,           0.0052009,             0.00955,             0.00955,             0.00955
                  12,             0.02792,             0.02567,           0.0036544,             0.79648,             0.50769,              0.5575,              0.4061,            0.029609,            0.067599,           0.0052375,            0.009505,            0.009505,            0.009505
                  13,            0.027298,            0.025258,           0.0036357,             0.78115,             0.50699,             0.54782,             0.39559,            0.029879,            0.067059,             0.00553,             0.00946,             0.00946,             0.00946
                  14,            0.027418,            0.025282,           0.0035407,             0.79662,             0.52425,              0.5612,              0.4048,            0.029764,            0.066742,           0.0052804,            0.009415,            0.009415,            0.009415
                  15,             0.02657,            0.025108,           0.0034094,             0.80226,             0.51376,             0.56505,             0.40672,            0.029807,            0.068291,            0.005357,             0.00937,             0.00937,             0.00937
                  16,            0.026881,            0.025198,           0.0034312,             0.81279,             0.51729,             0.59641,             0.43511,            0.028749,            0.064807,           0.0052829,            0.009325,            0.009325,            0.009325
                  17,            0.026364,            0.024721,           0.0033547,              0.8144,              0.4977,             0.59534,              0.4203,            0.030259,             0.06735,           0.0049146,             0.00928,             0.00928,             0.00928
                  18,            0.026263,            0.024903,           0.0033442,             0.81104,             0.51012,             0.59008,             0.43032,            0.029906,             0.06632,           0.0050654,            0.009235,            0.009235,            0.009235
                  19,            0.026147,            0.024534,            0.003213,             0.67449,             0.56516,             0.59329,             0.42802,            0.029163,            0.065403,           0.0051456,             0.00919,             0.00919,             0.00919
                  20,            0.026073,            0.024642,           0.0031795,             0.69864,             0.55652,               0.599,             0.43555,            0.029531,            0.066083,           0.0050849,            0.009145,            0.009145,            0.009145
                  21,            0.025913,            0.024226,           0.0031282,             0.67868,             0.55269,             0.60236,             0.43536,            0.029542,            0.066999,           0.0049645,              0.0091,              0.0091,              0.0091
                  22,            0.025766,            0.024281,            0.003045,             0.71156,             0.53876,             0.60031,             0.43559,            0.029447,            0.069637,           0.0048481,            0.009055,            0.009055,            0.009055
