               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.070603,            0.017346,            0.010299,             0.48923,             0.57812,             0.54505,             0.25685,            0.035723,           0.0070824,            0.001499,            0.070106,           0.0033216,           0.0033216
                   1,             0.05413,             0.01338,            0.002061,             0.68272,             0.69602,             0.71307,             0.38744,            0.029234,           0.0055799,           0.0014569,            0.040046,            0.006595,            0.006595
                   2,             0.05112,            0.012394,           0.0018408,             0.65047,             0.71733,             0.68399,              0.3045,            0.034683,           0.0052804,           0.0011951,           0.0099258,           0.0098085,           0.0098085
                   3,            0.050069,            0.012185,           0.0012913,             0.67341,             0.70739,             0.71443,             0.35148,            0.028603,           0.0054662,          0.00076244,             0.00973,             0.00973,             0.00973
                   4,            0.047811,            0.012431,          0.00087885,             0.61505,             0.67857,             0.64769,             0.31287,            0.030455,           0.0058071,          0.00055203,             0.00973,             0.00973,             0.00973
                   5,            0.046396,            0.012182,          0.00068133,             0.69304,             0.66386,             0.70867,              0.3783,            0.027252,           0.0055429,          0.00043353,             0.00964,             0.00964,             0.00964
                   6,            0.044442,            0.012062,          0.00059028,             0.76166,             0.77557,             0.79559,             0.44543,             0.02564,           0.0050989,          0.00039784,             0.00955,             0.00955,             0.00955
                   7,            0.043817,            0.011776,          0.00051353,              0.7213,             0.75426,             0.77139,             0.42671,            0.025408,           0.0051755,          0.00035909,             0.00946,             0.00946,             0.00946
                   8,            0.043193,            0.011846,          0.00049811,             0.78304,             0.78693,             0.83401,             0.48114,            0.024628,           0.0050258,          0.00039795,             0.00937,             0.00937,             0.00937
                   9,            0.042818,            0.011452,          0.00044373,             0.70614,             0.78267,             0.79695,             0.45263,            0.024415,           0.0051924,          0.00031944,             0.00928,             0.00928,             0.00928
                  10,            0.041842,            0.011629,          0.00040122,             0.79986,             0.80114,             0.85468,              0.5035,            0.023614,           0.0048598,          0.00031618,             0.00919,             0.00919,             0.00919
                  11,            0.041354,            0.011535,          0.00036689,             0.73599,             0.79261,             0.81202,             0.47638,            0.024046,           0.0049628,          0.00023005,              0.0091,              0.0091,              0.0091
