               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10287,            0.022721,            0.046257,                   0,                   0,                   0,                   0,            0.086182,             0.01875,            0.045002,            0.070291,            0.003301,            0.003301
                   1,            0.094129,            0.021177,            0.044886,                   0,                   0,                   0,                   0,             0.08407,            0.016412,            0.044248,            0.040232,           0.0065746,           0.0065746
                   2,            0.082626,            0.021627,             0.04409,           0.0025239,             0.28231,           0.0068741,           0.0018821,            0.068681,            0.016716,            0.042865,            0.010112,           0.0097882,           0.0097882
                   3,            0.068149,            0.019387,            0.043332,            0.086066,             0.10881,            0.041568,            0.015682,            0.054748,            0.016977,            0.042104,             0.00973,             0.00973,             0.00973
                   4,            0.059583,            0.016636,            0.042493,             0.11285,             0.17422,             0.06447,            0.034323,            0.048301,            0.012432,            0.041311,             0.00973,             0.00973,             0.00973
                   5,            0.054136,            0.015264,            0.041458,            0.057733,             0.22175,             0.07986,            0.037322,            0.046065,            0.011563,            0.038565,             0.00964,             0.00964,             0.00964
                   6,            0.050902,            0.014372,            0.040059,            0.099511,             0.22434,             0.11789,            0.062284,            0.043035,            0.011021,            0.037022,             0.00955,             0.00955,             0.00955
                   7,            0.047468,            0.013389,            0.038673,             0.10845,             0.36786,             0.15252,            0.089992,            0.036054,           0.0088751,            0.034976,             0.00946,             0.00946,             0.00946
                   8,            0.045034,            0.013091,            0.037547,             0.20668,              0.4216,             0.20252,             0.11736,            0.035664,           0.0084835,            0.033577,             0.00937,             0.00937,             0.00937
                   9,            0.043617,             0.01221,            0.036657,             0.21028,             0.46392,             0.25266,             0.15622,            0.031564,           0.0099828,            0.032439,             0.00928,             0.00928,             0.00928
                  10,            0.041814,            0.011904,            0.035626,             0.15589,             0.47598,             0.25533,             0.15859,            0.030674,           0.0075948,            0.031482,             0.00919,             0.00919,             0.00919
                  11,            0.040848,            0.011844,            0.034692,             0.17359,             0.44168,              0.2711,             0.15805,            0.034895,           0.0079735,             0.03111,              0.0091,              0.0091,              0.0091
                  12,            0.039907,            0.011239,            0.033683,             0.28495,             0.46859,             0.32342,             0.20325,            0.030482,           0.0076379,             0.02938,             0.00901,             0.00901,             0.00901
                  13,             0.03822,            0.010843,            0.032922,             0.33503,              0.5123,              0.3546,             0.22635,            0.030402,           0.0072254,            0.027874,             0.00892,             0.00892,             0.00892
                  14,            0.038556,            0.010741,            0.032201,             0.35914,             0.55232,             0.38985,             0.25934,            0.026709,           0.0069662,            0.027485,             0.00883,             0.00883,             0.00883
                  15,            0.037665,            0.010623,            0.031181,             0.32618,             0.54836,             0.40848,             0.26428,            0.027372,           0.0061217,            0.025591,             0.00874,             0.00874,             0.00874
                  16,            0.036032,            0.010295,            0.030305,             0.36736,              0.6495,             0.46554,             0.30972,            0.026547,           0.0061502,            0.024792,             0.00865,             0.00865,             0.00865
                  17,            0.036277,            0.010092,            0.029621,             0.34156,             0.59508,             0.44524,             0.29903,            0.026522,           0.0061413,            0.024187,             0.00856,             0.00856,             0.00856
                  18,             0.03522,            0.010077,            0.028575,             0.37746,             0.61793,             0.49866,             0.34033,            0.025267,           0.0058138,             0.02272,             0.00847,             0.00847,             0.00847
                  19,            0.035297,           0.0097368,            0.028005,             0.41418,             0.63735,             0.52183,              0.3561,            0.024851,           0.0058657,             0.02221,             0.00838,             0.00838,             0.00838
                  20,            0.034323,           0.0097913,            0.027489,              0.4367,             0.60169,             0.53656,             0.37642,            0.024602,           0.0070187,            0.021336,             0.00829,             0.00829,             0.00829
                  21,            0.034107,            0.009566,            0.026443,             0.43425,             0.61176,             0.55024,             0.38128,            0.024327,           0.0056709,            0.020763,              0.0082,              0.0082,              0.0082
                  22,            0.033841,           0.0095985,            0.026178,             0.47353,             0.63572,             0.57418,              0.4024,            0.024414,           0.0054556,            0.019783,             0.00811,             0.00811,             0.00811
                  23,             0.03371,           0.0093469,            0.025389,             0.50692,             0.69341,             0.62099,             0.43218,            0.024344,           0.0055375,            0.019226,             0.00802,             0.00802,             0.00802
                  24,            0.033326,           0.0094356,            0.024796,              0.5082,              0.6469,             0.60484,             0.43441,            0.023972,           0.0053847,            0.018725,             0.00793,             0.00793,             0.00793
                  25,            0.032616,           0.0089357,            0.024366,             0.53489,             0.75198,             0.64834,             0.46586,            0.022716,           0.0052799,            0.017898,             0.00784,             0.00784,             0.00784
                  26,            0.032463,           0.0090498,            0.024071,             0.54483,             0.72798,             0.65909,             0.46987,             0.02321,           0.0052311,            0.017581,             0.00775,             0.00775,             0.00775
                  27,             0.03231,           0.0088332,             0.02335,             0.61066,             0.73464,             0.68963,             0.49105,            0.022809,           0.0052227,            0.016861,             0.00766,             0.00766,             0.00766
                  28,            0.031739,           0.0088721,            0.022757,             0.61452,             0.73674,              0.7072,              0.5173,            0.022075,           0.0049171,            0.016138,             0.00757,             0.00757,             0.00757
                  29,            0.031717,           0.0089146,            0.022231,             0.64114,              0.7529,             0.73277,             0.55056,             0.02183,             0.00519,            0.015889,             0.00748,             0.00748,             0.00748
                  30,            0.031387,           0.0088425,             0.02124,             0.66601,             0.75723,             0.73352,               0.545,            0.021907,           0.0050024,             0.01526,             0.00739,             0.00739,             0.00739
                  31,            0.031649,           0.0086951,            0.021138,             0.60698,             0.80652,             0.73512,             0.54437,            0.022231,           0.0050898,            0.015176,              0.0073,              0.0073,              0.0073
                  32,            0.030914,            0.008565,            0.020734,             0.60442,             0.72803,             0.74483,             0.55171,            0.022079,           0.0052478,            0.014385,             0.00721,             0.00721,             0.00721
                  33,            0.031237,           0.0086986,            0.020659,             0.61564,             0.80063,             0.77513,             0.56965,            0.022136,           0.0054278,            0.013678,             0.00712,             0.00712,             0.00712
                  34,            0.030604,           0.0085617,            0.020111,             0.65322,             0.81512,              0.7919,             0.60329,            0.021123,           0.0049004,             0.01346,             0.00703,             0.00703,             0.00703
                  35,            0.030673,           0.0086621,            0.019537,             0.67317,             0.82048,             0.80289,             0.60012,             0.02163,           0.0050039,            0.012934,             0.00694,             0.00694,             0.00694
