               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10306,            0.023972,            0.046404,                   0,                   0,                   0,                   0,            0.085224,            0.018798,            0.045005,            0.070291,            0.003301,            0.003301
                   1,            0.094269,            0.021274,            0.044899,                   0,                   0,                   0,                   0,            0.085739,            0.016567,            0.044374,            0.040232,           0.0065746,           0.0065746
                   2,            0.092657,            0.020104,            0.044429,                   0,                   0,                   0,                   0,            0.078853,            0.017119,            0.043725,            0.010112,           0.0097882,           0.0097882
                   3,            0.088279,            0.020775,            0.043856,                   0,                   0,                   0,                   0,            0.079213,            0.016311,            0.042889,             0.00973,             0.00973,             0.00973
                   4,            0.083677,            0.019942,            0.043178,           0.0016345,             0.25098,           0.0030704,          0.00087877,            0.079022,            0.016076,            0.042125,             0.00973,             0.00973,             0.00973
                   5,            0.077572,            0.018967,            0.042079,            0.002635,             0.56626,            0.012632,           0.0034654,            0.067548,            0.014944,              0.0394,             0.00964,             0.00964,             0.00964
                   6,            0.072594,            0.018037,            0.040794,            0.018382,             0.56847,            0.043757,            0.018903,            0.055096,            0.013801,            0.037684,             0.00955,             0.00955,             0.00955
                   7,            0.068955,            0.017136,            0.039703,             0.27988,             0.12972,            0.059111,            0.027362,            0.055831,            0.012304,            0.036396,             0.00946,             0.00946,             0.00946
                   8,            0.066002,            0.016903,            0.038904,             0.26834,             0.22324,            0.074165,            0.032089,            0.052098,            0.013005,             0.03566,             0.00937,             0.00937,             0.00937
                   9,            0.064203,            0.016121,            0.038447,             0.25393,             0.19048,            0.089798,            0.045286,            0.048935,             0.01174,            0.034713,             0.00928,             0.00928,             0.00928
                  10,            0.062803,            0.015891,            0.037762,             0.30243,             0.25338,             0.12784,            0.061573,            0.047793,            0.011874,            0.033612,             0.00919,             0.00919,             0.00919
                  11,            0.060925,            0.016039,            0.037224,             0.18894,             0.32563,             0.13866,            0.075285,            0.046263,            0.010833,            0.032805,              0.0091,              0.0091,              0.0091
                  12,            0.060078,            0.015185,            0.036546,             0.22252,             0.35552,             0.16929,            0.092872,            0.042624,             0.01056,            0.031498,             0.00901,             0.00901,             0.00901
                  13,              0.0581,            0.014825,             0.03605,             0.24134,             0.33319,             0.19129,             0.10128,            0.043583,            0.010309,            0.031239,             0.00892,             0.00892,             0.00892
                  14,            0.057346,            0.014882,            0.035663,             0.20364,             0.34577,             0.19786,             0.10723,            0.042734,            0.009961,            0.030326,             0.00883,             0.00883,             0.00883
                  15,            0.056703,            0.014719,            0.035004,             0.18669,             0.38959,             0.20645,             0.11246,             0.04181,            0.010625,            0.029973,             0.00874,             0.00874,             0.00874
                  16,            0.054417,            0.014429,            0.034348,             0.30634,             0.38919,             0.25768,             0.13964,            0.040444,           0.0099031,            0.028966,             0.00865,             0.00865,             0.00865
                  17,            0.053477,            0.014168,            0.034031,             0.23869,             0.41635,             0.26935,             0.14222,            0.038945,           0.0094527,             0.02823,             0.00856,             0.00856,             0.00856
                  18,            0.052706,            0.014278,            0.033307,             0.29094,             0.42683,              0.3124,             0.17023,            0.037242,           0.0093725,            0.027702,             0.00847,             0.00847,             0.00847
                  19,            0.051603,            0.013753,            0.032748,             0.29543,             0.43063,             0.33241,             0.17994,            0.037552,           0.0094782,            0.026386,             0.00838,             0.00838,             0.00838
                  20,            0.051581,            0.013888,            0.032712,             0.34465,             0.47264,             0.35838,             0.21596,            0.035754,           0.0090613,            0.026408,             0.00829,             0.00829,             0.00829
                  21,            0.050133,            0.013477,            0.031527,             0.40058,             0.46699,             0.39697,             0.22808,            0.035471,           0.0090603,            0.025026,              0.0082,              0.0082,              0.0082
                  22,            0.049873,            0.013555,            0.031432,             0.38306,             0.48152,             0.40599,             0.24229,            0.034997,           0.0089972,            0.024338,             0.00811,             0.00811,             0.00811
                  23,            0.049312,            0.013093,              0.0306,             0.43933,             0.50414,             0.43377,             0.25541,            0.034219,           0.0085113,            0.023591,             0.00802,             0.00802,             0.00802
                  24,            0.048602,            0.013325,            0.030094,             0.42507,             0.53263,             0.46323,             0.28366,            0.033948,           0.0083704,            0.023037,             0.00793,             0.00793,             0.00793
                  25,            0.047753,            0.012569,            0.029902,             0.40426,             0.51382,             0.46983,             0.28806,            0.033587,           0.0084665,            0.022318,             0.00784,             0.00784,             0.00784
                  26,            0.047726,            0.012822,            0.029375,             0.49117,             0.53355,             0.50731,             0.31112,            0.033282,           0.0082502,            0.022153,             0.00775,             0.00775,             0.00775
                  27,             0.04708,            0.012554,            0.028965,             0.51186,             0.51433,             0.54134,             0.32938,            0.032743,            0.008262,            0.021011,             0.00766,             0.00766,             0.00766
                  28,            0.046407,            0.012388,            0.028499,             0.51718,             0.55737,             0.58597,             0.37339,            0.032086,           0.0082651,            0.020618,             0.00757,             0.00757,             0.00757
                  29,            0.046316,            0.012572,            0.027929,             0.49103,             0.58644,             0.59626,             0.37291,            0.032278,           0.0078624,            0.020008,             0.00748,             0.00748,             0.00748
                  30,            0.045738,             0.01237,            0.027102,             0.51207,             0.64575,             0.61007,             0.38261,            0.031367,           0.0077393,            0.018881,             0.00739,             0.00739,             0.00739
                  31,            0.045242,              0.0122,            0.026704,             0.56499,             0.60336,             0.62087,             0.40429,            0.030743,           0.0077219,            0.018758,              0.0073,              0.0073,              0.0073
                  32,             0.04456,            0.012087,            0.026502,             0.68362,             0.60287,             0.66899,             0.44131,            0.031074,           0.0075026,            0.017834,             0.00721,             0.00721,             0.00721
                  33,            0.045169,            0.012238,            0.026247,             0.59428,             0.62341,             0.67893,             0.44541,            0.030638,           0.0075254,            0.017102,             0.00712,             0.00712,             0.00712
                  34,            0.044216,            0.011965,            0.025452,             0.65446,             0.61098,             0.68647,              0.4594,            0.030502,           0.0072292,            0.016788,             0.00703,             0.00703,             0.00703
                  35,            0.044322,            0.012049,            0.024952,             0.62756,             0.64545,             0.70434,             0.46493,            0.030275,           0.0074425,            0.016246,             0.00694,             0.00694,             0.00694
                  36,            0.044159,            0.011734,            0.024649,             0.64108,             0.66395,             0.72292,             0.47565,            0.030424,           0.0073796,            0.015757,             0.00685,             0.00685,             0.00685
                  37,            0.044061,            0.011821,            0.024774,             0.71368,             0.65707,             0.74811,             0.49563,            0.029263,           0.0072206,            0.015423,             0.00676,             0.00676,             0.00676
                  38,             0.04334,            0.011797,            0.023766,             0.69507,              0.6706,             0.73892,             0.50575,            0.028917,           0.0071726,            0.014841,             0.00667,             0.00667,             0.00667
                  39,            0.043517,             0.01156,            0.023682,             0.71416,             0.69792,             0.76884,             0.51919,            0.029208,           0.0071057,            0.014242,             0.00658,             0.00658,             0.00658
                  40,            0.042492,            0.011602,            0.022964,             0.74781,             0.71028,             0.77849,             0.53183,            0.028483,           0.0068949,            0.013802,             0.00649,             0.00649,             0.00649
                  41,            0.042384,            0.011651,            0.022747,             0.76934,             0.71532,             0.79708,             0.55402,            0.028097,           0.0069788,            0.013288,              0.0064,              0.0064,              0.0064
                  42,            0.042601,            0.011502,            0.022737,             0.81087,             0.69333,             0.80164,             0.55339,            0.028457,            0.006974,            0.012931,             0.00631,             0.00631,             0.00631
                  43,            0.042284,             0.01132,            0.021603,             0.74396,             0.73578,             0.80278,             0.54638,            0.027984,            0.006843,            0.013275,             0.00622,             0.00622,             0.00622
                  44,            0.041771,            0.011595,            0.021739,             0.77932,             0.73574,             0.81955,             0.56243,            0.027561,           0.0068782,            0.012577,             0.00613,             0.00613,             0.00613
                  45,             0.04114,            0.011435,            0.021457,             0.80168,             0.73691,             0.81588,              0.5689,            0.028273,           0.0066855,            0.012453,             0.00604,             0.00604,             0.00604
                  46,            0.041477,            0.011355,            0.020914,             0.84552,             0.72816,              0.8316,              0.5776,            0.027411,           0.0066033,             0.01167,             0.00595,             0.00595,             0.00595
                  47,            0.041138,            0.010959,            0.020745,             0.81831,              0.7742,             0.85657,             0.60634,            0.027224,           0.0065431,            0.011353,             0.00586,             0.00586,             0.00586
                  48,             0.04101,            0.011351,            0.020422,             0.84846,             0.74547,             0.85422,             0.60508,             0.02669,           0.0065297,            0.011238,             0.00577,             0.00577,             0.00577
                  49,            0.040303,            0.011305,            0.020358,             0.82087,              0.7754,             0.87185,              0.6247,            0.026576,           0.0063949,            0.010903,             0.00568,             0.00568,             0.00568
                  50,            0.040601,            0.011148,            0.019887,             0.81988,             0.78301,             0.86311,             0.61564,            0.026629,            0.006307,            0.010567,             0.00559,             0.00559,             0.00559
                  51,            0.040172,            0.011178,            0.019616,             0.87053,             0.78131,             0.87971,             0.62971,            0.026342,           0.0062466,            0.010367,              0.0055,              0.0055,              0.0055
                  52,            0.039688,            0.010823,            0.019284,             0.91809,             0.76061,             0.89251,             0.64673,            0.026133,           0.0061943,           0.0097732,             0.00541,             0.00541,             0.00541
                  53,            0.040231,            0.011114,            0.019416,             0.87027,             0.80612,             0.89354,             0.63867,            0.026185,           0.0063702,           0.0097604,             0.00532,             0.00532,             0.00532
                  54,            0.039983,            0.010941,            0.018783,              0.8737,             0.79319,             0.89371,             0.63498,            0.025716,           0.0062346,           0.0096345,             0.00523,             0.00523,             0.00523
                  55,            0.039526,            0.010752,            0.018752,             0.92175,              0.7989,             0.90603,             0.65847,             0.02603,           0.0061531,           0.0092401,             0.00514,             0.00514,             0.00514
                  56,            0.039759,            0.010747,            0.018535,             0.86508,             0.79814,             0.90006,              0.6465,            0.025541,           0.0061546,           0.0095611,             0.00505,             0.00505,             0.00505
                  57,            0.039176,            0.010668,            0.018224,             0.89871,             0.79884,             0.90822,             0.65824,            0.025303,            0.006047,           0.0090245,             0.00496,             0.00496,             0.00496
                  58,            0.039569,            0.011013,            0.018264,             0.90254,             0.82213,              0.9096,             0.64847,            0.025863,           0.0061459,           0.0089443,             0.00487,             0.00487,             0.00487
                  59,            0.038672,            0.010719,            0.017755,             0.91178,             0.82168,             0.91359,             0.66336,            0.025691,           0.0060984,           0.0084379,             0.00478,             0.00478,             0.00478
