               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision1,      metrics/recall,     metrics/mAP_0.51,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2,,   metrics/precision,     metrics/mAP_0.5
0,0.10196,0.022048,0.046436,2.81E-05,0.00031706,1.43E-05,8.59E-06,0.085576,0.019179,0.04529,0.070146,0.0033172,0.0033172,,2.81E-05,1.43E-05
1,0.095988,0.021009,0.045268,5.14E-06,0.00031706,2.60E-06,7.80E-07,0.083538,0.017646,0.04449,0.040106,0.0066106,0.0066106,,5.14E-06,2.60E-06
2,0.091626,0.020118,0.044099,1.26E-05,0.0015853,6.58E-06,1.44E-06,0.077969,0.017836,0.043058,0.010026,0.009864,0.009864,,1.26E-05,6.58E-06
3,0.086079,0.020208,0.043165,0.0030855,0.42877,0.0063093,0.0017407,0.068788,0.017653,0.041252,0.00982,0.00982,0.00982,,0.0030855,0.0063093
4,0.07608,0.019155,0.042133,0.0031283,0.58374,0.015451,0.0063255,0.060791,0.017132,0.04013,0.00982,0.00982,0.00982,,0.002033395,0.01266982
5,0.068704,0.018453,0.040907,0.20383,0.056775,0.03778,0.012036,0.056599,0.014778,0.037718,0.00976,0.00976,0.00976,,0.1324895,0.0309796
6,0.063112,0.017824,0.039852,0.1784,0.24587,0.072892,0.033714,0.047575,0.012996,0.036688,0.0097,0.0097,0.0097,,0.11596,0.05977144
7,0.059635,0.016842,0.038933,0.29826,0.24353,0.10104,0.05727,0.044252,0.012294,0.035667,0.00964,0.00964,0.00964,,0.193869,0.0828528
8,0.056513,0.016494,0.038029,0.25196,0.29154,0.12937,0.075764,0.0406,0.011966,0.034181,0.00958,0.00958,0.00958,,0.163774,0.1060834
9,0.054392,0.015674,0.037563,0.22928,0.34391,0.17098,0.10097,0.039392,0.010964,0.033148,0.00952,0.00952,0.00952,,0.149032,0.1402036
10,0.05331,0.015506,0.036696,0.24673,0.36113,0.19081,0.10158,0.04018,0.010449,0.032061,0.00946,0.00946,0.00946,,0.1603745,0.1564642
11,0.051572,0.015472,0.036036,0.25754,0.40091,0.21885,0.13024,0.038281,0.010342,0.031232,0.0094,0.0094,0.0094,,0.167401,0.179457
12,0.050318,0.014539,0.03523,0.26913,0.38081,0.26214,0.16106,0.034775,0.01005,0.029656,0.00934,0.00934,0.00934,,0.1749345,0.2149548
13,0.048351,0.013954,0.034646,0.27972,0.38408,0.25989,0.15093,0.036592,0.0097999,0.02913,0.00928,0.00928,0.00928,,0.181818,0.2131098
14,0.048084,0.014043,0.034149,0.263,0.42615,0.30184,0.18111,0.034888,0.0092152,0.028344,0.00922,0.00922,0.00922,,0.17095,0.2475088
