               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision1,      metrics/recall1,     metrics/mAP_0.51,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2,,   metrics/precision,,      metrics/recall,     metrics/mAP_0.5
0,0.094624,0.020545,0.046371,0.0032191,0.71615,0.011167,0.0043092,0.073549,0.011862,0.045018,0.070714,0.003254,0.003254,,0.0032191,,,0.011167
1,0.061167,0.019178,0.04406,0.16564,0.042463,0.066113,0.02693,0.057366,0.0087719,0.041676,0.040702,0.0065754,0.0065754,,0.16564,,,0.066113
2,0.052738,0.014755,0.041918,0.049103,0.28374,0.066417,0.025095,0.058475,0.008099,0.037632,0.010679,0.0098849,0.0098849,,0.049103,,,0.066417
3,0.045237,0.010948,0.039612,0.141,0.29724,0.17825,0.097692,0.039487,0.0069848,0.035273,0.009946,0.009946,0.009946,,0.0987,,,0.17825
4,0.040546,0.009643,0.037792,0.21495,0.34899,0.24477,0.12976,0.038633,0.005428,0.033857,0.009946,0.009946,0.009946,,0.150465,,,0.220293
5,0.037602,0.0090224,0.03711,0.27195,0.34357,0.28135,0.14715,0.037303,0.0057047,0.032134,0.009928,0.009928,0.009928,,0.190365,,,0.253215
6,0.036898,0.0092171,0.035904,0.31339,0.37896,0.31015,0.18132,0.035335,0.0069855,0.030834,0.00991,0.00991,0.00991,,0.219373,,,0.279135
7,0.034242,0.0084466,0.034047,0.31141,0.51327,0.38534,0.21694,0.032399,0.0050544,0.028643,0.009892,0.009892,0.009892,,0.217987,,,0.346806
8,0.033476,0.008288,0.032435,0.3845,0.49121,0.42716,0.27847,0.029005,0.0045802,0.027542,0.009874,0.009874,0.009874,,0.26915,,,0.384444
9,0.033423,0.0083801,0.031318,0.46153,0.51863,0.46654,0.27901,0.030898,0.0045782,0.025201,0.009856,0.009856,0.009856,,0.323071,,,0.419886
10,0.032635,0.0080999,0.029377,0.44051,0.58936,0.53614,0.31462,0.0333,0.0046874,0.023329,0.009838,0.009838,0.009838,,0.308357,,,0.482526
11,0.031976,0.007989,0.0279,0.44941,0.62069,0.55608,0.35382,0.02738,0.0045744,0.0222,0.00982,0.00982,0.00982,,0.314587,,,0.500472
12,0.031977,0.0078492,0.02652,0.50047,0.6437,0.5951,0.40878,0.027686,0.0043998,0.020809,0.009802,0.009802,0.009802,,0.350329,,,0.53559
13,0.032022,0.007983,0.025683,0.48377,0.69529,0.62939,0.37773,0.029647,0.0042156,0.01943,0.009784,0.009784,0.009784,,0.338639,,,0.566451
14,0.030993,0.0077999,0.024046,0.50776,0.65524,0.65099,0.43257,0.027613,0.0046889,0.019014,0.009766,0.009766,0.009766,,0.355432,,,0.585891
15,0.031486,0.0076928,0.023681,0.55931,0.77153,0.71348,0.46116,0.02681,0.0042498,0.01702,0.009748,0.009748,0.009748,,0.391517,,,0.642132
16,0.029914,0.0077456,0.021755,0.59754,0.78739,0.76432,0.47778,0.027291,0.0041937,0.015719,0.00973,0.00973,0.00973,,0.418278,,,0.687888
17,0.029664,0.0073463,0.020297,0.57725,0.81749,0.78534,0.51044,0.028919,0.0044111,0.01486,0.009712,0.009712,0.009712,,0.404075,,,0.706806
18,0.02995,0.0076069,0.019484,0.69802,0.81204,0.8095,0.57655,0.023315,0.0040934,0.014252,0.009694,0.009694,0.009694,,0.488614,,,0.72855
19,0.029594,0.0075869,0.018666,0.6728,0.77128,0.75729,0.50304,0.026111,0.0046598,0.013633,0.009676,0.009676,0.009676,,0.43732,,,0.681561
20,0.030254,0.007681,0.018137,0.69016,0.85928,0.82004,0.57887,0.024058,0.0042384,0.012535,0.009658,0.009658,0.009658,,0.448604,,,0.697034
21,0.029337,0.0073421,0.016844,0.78286,0.85121,0.88395,0.65216,0.022738,0.0040714,0.011059,0.00964,0.00964,0.00964,,0.508859,,,0.7513575
22,0.02874,0.0072543,0.016276,0.80966,0.88007,0.91841,0.65079,0.02418,0.0040196,0.010092,0.009622,0.009622,0.009622,,0.526279,,,0.7806485
23,0.029167,0.0074609,0.015458,0.81819,0.89984,0.91659,0.65675,0.023527,0.0041349,0.01001,0.009604,0.009604,0.009604,,0.5318235,,,0.7791015
24,0.028954,0.0074201,0.014524,0.87214,0.90266,0.93842,0.66584,0.026605,0.0042758,0.0088541,0.009586,0.009586,0.009586,,0.566891,,,0.797657
25,0.028764,0.0074658,0.0136,0.93036,0.92272,0.96637,0.72826,0.023103,0.003963,0.007432,0.009568,0.009568,0.009568,,0.604734,,,0.8214145
26,0.028423,0.0071377,0.013128,0.87176,0.8716,0.93986,0.66843,0.024214,0.0043332,0.0083879,0.00955,0.00955,0.00955,,0.566644,,,0.798881
27,0.028287,0.007147,0.012395,0.90758,0.93354,0.96785,0.70197,0.024897,0.0040595,0.0068362,0.009532,0.009532,0.009532,,0.589927,,,0.8226725
28,0.028104,0.0071339,0.011972,0.9046,0.90232,0.95127,0.67766,0.023633,0.0043102,0.0066204,0.009514,0.009514,0.009514,,0.58799,,,0.8085795
29,0.028676,0.0073402,0.012203,0.90891,0.92777,0.96457,0.72916,0.022187,0.0042236,0.0064582,0.009496,0.009496,0.009496,,0.5907915,,,0.8198845
30,0.027868,0.0071952,0.01119,0.92636,0.91222,0.96417,0.7354,0.021183,0.0037588,0.0061616,0.009478,0.009478,0.009478,,0.602134,,,0.8195445
31,0.028375,0.0073779,0.011338,0.94815,0.9113,0.96869,0.73972,0.023288,0.0038402,0.0052517,0.00946,0.00946,0.00946,,0.6162975,,,0.8233865
32,0.02758,0.0073412,0.010857,0.94324,0.92615,0.97091,0.69413,0.024766,0.0040243,0.0054783,0.009442,0.009442,0.009442,,0.613106,,,0.8252735
33,0.029122,0.0080249,0.010877,0.97366,0.94252,0.98497,0.73212,0.021716,0.0038062,0.0042694,0.009424,0.009424,0.009424,,0.632879,,,0.8372245
34,0.02748,0.0068618,0.00989,0.9502,0.93821,0.97733,0.71496,0.023679,0.0038526,0.0046116,0.009406,0.009406,0.009406,,0.61763,,,0.8307305
35,0.026801,0.0069712,0.010145,0.93879,0.92249,0.97368,0.72702,0.022361,0.0038816,0.0054502,0.009388,0.009388,0.009388,,0.6102135,,,0.827628
36,0.027945,0.0071173,0.0096801,0.94975,0.95589,0.98129,0.75586,0.021237,0.003944,0.0042706,0.00937,0.00937,0.00937,,0.6173375,,,0.8340965
37,0.026849,0.0072147,0.0097688,0.95691,0.94879,0.97934,0.75419,0.020797,0.0037528,0.0042679,0.009352,0.009352,0.009352,,0.6219915,,,0.832439
38,0.02712,0.0071415,0.0096478,0.9565,0.94182,0.97707,0.74003,0.021854,0.0037085,0.0042733,0.009334,0.009334,0.009334,,0.621725,,,0.8305095
39,0.026822,0.0069653,0.0092403,0.95815,0.93841,0.9758,0.76217,0.020742,0.0037244,0.0041826,0.009316,0.009316,0.009316,,0.6227975,,,0.82943
40,0.026137,0.006966,0.0090003,0.95438,0.92736,0.97634,0.75885,0.020813,0.0039248,0.0042555,0.009298,0.009298,0.009298,,0.620347,,,0.829889
41,0.027015,0.0068029,0.0099156,0.96612,0.95899,0.97963,0.7703,0.019652,0.0036521,0.0037352,0.00928,0.00928,0.00928,,0.627978,,,0.8326855
42,0.026695,0.0069275,0.0088389,0.9613,0.95921,0.98332,0.75026,0.022047,0.0037414,0.0035427,0.009262,0.009262,0.009262,,0.624845,,,0.835822
43,0.026242,0.006841,0.0085849,0.95085,0.96261,0.98,0.74765,0.020484,0.0038045,0.0035895,0.009244,0.009244,0.009244,,0.6180525,,,0.833
44,0.025842,0.0070055,0.0082914,0.94737,0.95567,0.98178,0.77807,0.01941,0.0037639,0.0036002,0.009226,0.009226,0.009226,,0.6157905,,,0.834513
45,0.026084,0.006959,0.0080503,0.94265,0.9551,0.97777,0.76312,0.020047,0.0039504,0.0037102,0.009208,0.009208,0.009208,,0.6127225,,,0.8311045
46,0.026267,0.0069757,0.0085173,0.95466,0.95592,0.9824,0.76919,0.019619,0.0037246,0.0038302,0.00919,0.00919,0.00919,,0.620529,,,0.83504
