               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1264,            0.021935,            0.017746,          4.2456e-05,           0.0031056,          2.2278e-05,          2.2278e-06,             0.12617,            0.017545,            0.018234,              0.0784,              0.0024,              0.0024
                   1,             0.10667,            0.021224,            0.016232,           0.0052746,             0.49114,           0.0078644,           0.0018588,             0.09063,            0.021322,            0.016416,            0.055856,           0.0048559,           0.0048559
                   2,            0.090777,            0.022045,            0.015353,            0.048923,             0.21118,            0.052714,            0.011988,            0.094033,            0.017441,            0.015948,            0.033267,           0.0072668,           0.0072668
                   3,            0.084463,             0.02003,            0.015126,            0.052735,             0.14907,            0.046938,           0.0099059,            0.082843,             0.02037,            0.015801,            0.010633,           0.0096327,           0.0096327
                   4,            0.079395,            0.017186,            0.015081,             0.19417,             0.44918,             0.16577,            0.043131,            0.072858,            0.017695,            0.015608,             0.00964,             0.00964,             0.00964
                   5,            0.072456,            0.017863,            0.014643,              0.2355,             0.46525,             0.20003,            0.046266,            0.068113,             0.01685,            0.015397,             0.00964,             0.00964,             0.00964
                   6,            0.070304,            0.015761,            0.014908,             0.22913,             0.39693,             0.20097,            0.057086,            0.068768,            0.014542,            0.015324,             0.00955,             0.00955,             0.00955
                   7,            0.068973,            0.015204,            0.014719,             0.15848,             0.49794,             0.19224,            0.060456,            0.063451,            0.013657,            0.015256,             0.00946,             0.00946,             0.00946
                   8,            0.067421,            0.013845,            0.014844,             0.25529,             0.56551,              0.3109,            0.086326,            0.061853,            0.013845,            0.015318,             0.00937,             0.00937,             0.00937
                   9,            0.065269,            0.014251,            0.014379,             0.33969,             0.58834,             0.39146,             0.12322,            0.059979,            0.013551,            0.015338,             0.00928,             0.00928,             0.00928
                  10,            0.061203,            0.014616,            0.014709,             0.43356,             0.57788,             0.39537,             0.10879,            0.062863,            0.012162,            0.015425,             0.00919,             0.00919,             0.00919
                  11,            0.065339,            0.013767,            0.014667,             0.39515,             0.59837,             0.39257,             0.13039,            0.057268,            0.011859,            0.015401,              0.0091,              0.0091,              0.0091
                  12,            0.060466,            0.012718,            0.014565,              0.3239,             0.57978,             0.34937,             0.11947,            0.058221,            0.011689,            0.015291,             0.00901,             0.00901,             0.00901
                  13,            0.058054,            0.013854,            0.014275,             0.32654,             0.57646,             0.35909,             0.12275,            0.057806,            0.011438,            0.015297,             0.00892,             0.00892,             0.00892
                  14,             0.06157,            0.012982,            0.014526,             0.31095,              0.5089,             0.29004,            0.094902,            0.059869,            0.011309,             0.01527,             0.00883,             0.00883,             0.00883
                  15,            0.058951,            0.014029,            0.014403,             0.34798,             0.58572,             0.34255,             0.11676,            0.056791,            0.011719,             0.01538,             0.00874,             0.00874,             0.00874
                  16,            0.059453,            0.012529,            0.014474,             0.32025,             0.56913,             0.32442,            0.093534,             0.06069,            0.011593,            0.015316,             0.00865,             0.00865,             0.00865
                  17,            0.057836,            0.012297,            0.014798,              0.3683,             0.55196,             0.34634,             0.11157,            0.057887,            0.011189,            0.015229,             0.00856,             0.00856,             0.00856
                  18,            0.055628,            0.012642,            0.014561,             0.31969,             0.58414,             0.32134,             0.10878,            0.058606,            0.011305,            0.015105,             0.00847,             0.00847,             0.00847
                  19,            0.055904,            0.011598,            0.014557,             0.30879,              0.5836,             0.32587,             0.11134,            0.056339,            0.010806,            0.014972,             0.00838,             0.00838,             0.00838
                  20,            0.054835,             0.01237,            0.014402,             0.35449,              0.4846,             0.35594,             0.12823,            0.056385,            0.011129,            0.014947,             0.00829,             0.00829,             0.00829
                  21,            0.058624,             0.01178,            0.014606,             0.31176,             0.52077,              0.3294,             0.10811,            0.059111,            0.010874,            0.014888,              0.0082,              0.0082,              0.0082
                  22,            0.055296,            0.011295,            0.014539,              0.3867,             0.61847,             0.40005,             0.13855,            0.055439,            0.010708,            0.014871,             0.00811,             0.00811,             0.00811
                  23,            0.055601,            0.012518,            0.014737,             0.36614,             0.53255,             0.35726,             0.13015,             0.05652,             0.01129,            0.014872,             0.00802,             0.00802,             0.00802
                  24,            0.055167,            0.011648,            0.014824,             0.36181,             0.58834,             0.37715,             0.13341,            0.055253,            0.011107,            0.014868,             0.00793,             0.00793,             0.00793
                  25,            0.053277,            0.012331,            0.014312,             0.34918,             0.59711,             0.35503,             0.11758,            0.057787,            0.011018,            0.014888,             0.00784,             0.00784,             0.00784
                  26,            0.054663,             0.01219,            0.014399,             0.35478,             0.59875,             0.34034,             0.11737,            0.057304,            0.011271,            0.014877,             0.00775,             0.00775,             0.00775
                  27,              0.0536,            0.012761,             0.01435,             0.32867,             0.60131,             0.33338,              0.1122,            0.057767,            0.011142,            0.014919,             0.00766,             0.00766,             0.00766
                  28,            0.054103,            0.012425,            0.014877,             0.34276,             0.57957,             0.34017,             0.12393,            0.055845,            0.010838,            0.014885,             0.00757,             0.00757,             0.00757
                  29,            0.051687,            0.012077,            0.014105,              0.3567,             0.58258,             0.37469,             0.13285,            0.057142,            0.010565,            0.014845,             0.00748,             0.00748,             0.00748
                  30,            0.053511,            0.011705,            0.014313,             0.37329,             0.54419,             0.38973,             0.13762,            0.055633,             0.01044,            0.014834,             0.00739,             0.00739,             0.00739
                  31,            0.050722,            0.011366,            0.014127,             0.40629,             0.56971,             0.41934,             0.15596,            0.053604,            0.010457,            0.014784,              0.0073,              0.0073,              0.0073
                  32,            0.054036,            0.012211,            0.014377,             0.38395,             0.56044,             0.40595,             0.15002,            0.054063,            0.010556,            0.014782,             0.00721,             0.00721,             0.00721
                  33,            0.051489,             0.01216,            0.014423,             0.35152,             0.58268,             0.38468,              0.1449,            0.053331,            0.010605,            0.014782,             0.00712,             0.00712,             0.00712
                  34,            0.052206,            0.011799,            0.014475,             0.36561,             0.62158,             0.37065,             0.13376,             0.05376,            0.010468,            0.014711,             0.00703,             0.00703,             0.00703
                  35,            0.052539,            0.011085,            0.014268,             0.36686,             0.60517,             0.38954,              0.1371,            0.055782,            0.010455,            0.014703,             0.00694,             0.00694,             0.00694
                  36,            0.051741,            0.012007,            0.014552,             0.36528,             0.60697,             0.36805,             0.13047,            0.055038,            0.010551,            0.014724,             0.00685,             0.00685,             0.00685
                  37,            0.049006,            0.010917,            0.014611,             0.41642,             0.56114,             0.38683,             0.13424,             0.05601,            0.010412,            0.014673,             0.00676,             0.00676,             0.00676
                  38,            0.049545,            0.011419,            0.014269,             0.43612,             0.57793,             0.39225,             0.14029,            0.055256,            0.010499,            0.014669,             0.00667,             0.00667,             0.00667
                  39,            0.051579,            0.011626,            0.014178,             0.42679,             0.55766,             0.37476,             0.13228,            0.055372,             0.01055,            0.014651,             0.00658,             0.00658,             0.00658
                  40,            0.050325,            0.011468,            0.013883,             0.39929,             0.56639,             0.34607,             0.12353,            0.055989,            0.010624,            0.014587,             0.00649,             0.00649,             0.00649
                  41,            0.052134,            0.011313,            0.014412,             0.42123,             0.54579,             0.38887,             0.14012,             0.05465,            0.010503,            0.014513,              0.0064,              0.0064,              0.0064
                  42,            0.050586,            0.011112,            0.013948,             0.40856,             0.52497,             0.40815,             0.14325,            0.055691,            0.010726,            0.014481,             0.00631,             0.00631,             0.00631
                  43,            0.049972,            0.011659,            0.014146,             0.41826,              0.5551,              0.4092,             0.14271,             0.05653,            0.011039,            0.014511,             0.00622,             0.00622,             0.00622
                  44,            0.050256,            0.011548,            0.013584,             0.44208,              0.5666,             0.38769,             0.13614,            0.057031,            0.010802,            0.014468,             0.00613,             0.00613,             0.00613
